#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.14e+01    1.66e+01      3.98e-01    4.00e-01      3.60e-01    5.26e-01    1.0e-03
    200      3.73e+00    2.03e+00      2.24e+00    2.23e+00      1.16e-01    3.69e-02    8.1e-04
    400      1.24e+00    1.46e+00      1.12e+00    1.12e+00      1.77e-02    3.49e-02    6.6e-04
    600      5.64e-01    6.54e-01      3.61e-01    3.61e-01      1.58e-02    2.13e-02    5.4e-04
    800      2.67e-01    3.57e-01      8.99e-02    8.97e-02      1.14e-02    1.61e-02    4.4e-04
   1000      3.78e-01    4.81e-01      2.66e-02    2.22e-02      1.98e-02    2.53e-02    3.6e-04
   1200      1.26e-01    2.75e-01      1.25e-02    1.53e-02      7.31e-03    1.60e-02    2.9e-04
   1400      1.10e-01    1.86e-01      6.63e-03    6.62e-03      7.12e-03    1.20e-02    2.4e-04
   1600      1.08e-01    1.36e-01      5.69e-03    5.58e-03      7.68e-03    9.71e-03    1.9e-04
   1800      2.23e-01    1.84e-01      3.62e-03    3.41e-03      1.77e-02    1.46e-02    1.6e-04
   2000      6.93e-02    8.92e-02      4.86e-03    4.82e-03      6.05e-03    7.81e-03    1.3e-04
   2200      8.31e-02    1.32e-01      4.55e-03    1.37e-02      8.05e-03    1.27e-02    1.0e-04
   2400      6.58e-02    8.53e-02      4.39e-03    4.28e-03      7.05e-03    9.15e-03    8.5e-05
   2600      5.77e-02    8.13e-02      3.91e-03    3.79e-03      6.83e-03    9.66e-03    6.9e-05
   2800      6.67e-02    6.58e-02      3.23e-03    3.11e-03      8.76e-03    8.65e-03    5.7e-05
   3000      4.00e-02    7.78e-02      3.94e-03    3.87e-03      5.75e-03    1.13e-02    4.6e-05
   3200      3.54e-02    4.59e-02      3.71e-03    3.68e-03      5.62e-03    7.33e-03    3.8e-05
   3400      3.75e-02    5.09e-02      3.40e-03    3.31e-03      6.60e-03    9.00e-03    3.1e-05
   3600      3.12e-02    4.81e-02      3.53e-03    3.43e-03      6.02e-03    9.38e-03    2.5e-05
   3800      3.00e-02    3.85e-02      3.40e-03    3.36e-03      6.39e-03    8.25e-03    2.0e-05
   4000      2.75e-02    5.64e-02      3.41e-03    1.38e-02      6.42e-03    1.22e-02    1.7e-05
   4200      2.34e-02    5.24e-02      3.39e-03    1.39e-02      5.96e-03    1.23e-02    1.3e-05
   4400      2.15e-02    4.89e-02      3.20e-03    1.40e-02      6.02e-03    1.23e-02    1.1e-05
   4600      2.04e-02    2.97e-02      3.35e-03    3.25e-03      6.20e-03    9.26e-03    8.9e-06
   4800      1.96e-02    4.21e-02      3.41e-03    1.37e-02      6.49e-03    1.21e-02    7.3e-06
   5000      1.71e-02    3.99e-02      3.26e-03    1.38e-02      6.13e-03    1.21e-02    5.9e-06
   5200      1.64e-02    2.28e-02      3.13e-03    3.03e-03      6.42e-03    9.18e-03    4.8e-06
   5400      1.52e-02    1.91e-02      3.00e-03    2.96e-03      6.44e-03    8.29e-03    3.9e-06
   5600      1.40e-02    3.45e-02      3.00e-03    1.39e-02      6.34e-03    1.21e-02    3.2e-06
   5800      1.31e-02    1.81e-02      2.89e-03    2.78e-03      6.37e-03    9.21e-03    2.6e-06
   6000      1.27e-02    1.58e-02      2.98e-03    2.93e-03      6.55e-03    8.45e-03    2.1e-06
   6200      1.18e-02    3.12e-02      3.00e-03    1.38e-02      6.41e-03    1.21e-02    1.7e-06
   6400      1.12e-02    1.52e-02      3.02e-03    2.91e-03      6.39e-03    9.22e-03    1.4e-06
   6600      1.08e-02    1.44e-02      3.05e-03    2.94e-03      6.44e-03    9.20e-03    1.1e-06
   6800      1.04e-02    1.38e-02      3.04e-03    2.93e-03      6.45e-03    9.20e-03    9.3e-07
   7000      9.94e-03    2.88e-02      2.98e-03    1.38e-02      6.40e-03    1.20e-02    7.6e-07
   7200      9.72e-03    2.83e-02      3.03e-03    1.38e-02      6.42e-03    1.20e-02    6.2e-07
   7400      9.53e-03    1.23e-02      3.01e-03    2.90e-03      6.51e-03    9.20e-03    5.1e-07
   7600      9.38e-03    1.20e-02      3.04e-03    2.93e-03      6.54e-03    9.18e-03    4.1e-07
   7800      9.14e-03    1.11e-02      2.99e-03    2.94e-03      6.52e-03    8.49e-03    3.4e-07
   8000      9.04e-03    1.15e-02      2.99e-03    2.88e-03      6.56e-03    9.18e-03    2.7e-07
   8200      8.99e-03    1.13e-02      3.03e-03    2.92e-03      6.61e-03    9.17e-03    2.2e-07
   8400      8.89e-03    1.07e-02      3.03e-03    2.98e-03      6.61e-03    8.61e-03    1.8e-07
   8600      8.78e-03    1.10e-02      3.01e-03    2.90e-03      6.60e-03    9.18e-03    1.5e-07
   8800      8.67e-03    1.09e-02      2.98e-03    2.87e-03      6.58e-03    9.19e-03    1.2e-07
   9000      8.63e-03    1.04e-02      2.99e-03    2.94e-03      6.59e-03    8.60e-03    9.8e-08
   9200      8.61e-03    1.03e-02      3.00e-03    2.95e-03      6.61e-03    8.62e-03    8.0e-08
   9400      8.56e-03    2.68e-02      2.99e-03    1.37e-02      6.60e-03    1.20e-02    6.5e-08
   9600      8.53e-03    2.68e-02      2.99e-03    1.37e-02      6.61e-03    1.20e-02    5.3e-08
   9800      8.52e-03    1.02e-02      3.00e-03    2.95e-03      6.62e-03    8.64e-03    4.3e-08
  10000      8.50e-03    2.67e-02      3.00e-03    1.37e-02      6.62e-03    1.20e-02    3.5e-08
